Individual,Mantle 3 (mg),Mantle 4 (mg),Mantle 5 (mg),Mantle 6 (mg),Gills 3 (mg),Gills 4 (mg),Gills 5 (mg),Gills 6 (mg)
NAR_1,16.5,13.1,14.7,12.4,14.7,19.1,10.7,18.0
NAR_2,16.5,16.8,15.3,14.7,14.9,14.2,14.0,13.4
NAR_3,15.8,14.2,15.7,16.7,14.4,19.2,16.1,19.2
NAR_4,12.0,11.9,8.8,16.7,11.9,14.8,16.7,9.6
NAR_5,14.2,14.8,12.0,12.3,14.9,15.8,15.5,15.5
NAR_6,12.6,15.6,15.6,16.9,15.5,15.4,15.5,14.6
NAR_7,10.7,15.4,13.6,15.4,12.8,17.4,12.6,12.2
NAR_8,12.9,11.0,18.3,15.4,12.3,17.1,15.1,14.6
NAR_9,18.1,13.2,18.1,11.8,16.8,17.3,18.9,16.6
NAR_10,14.5,15.6,17.1,13.8,13.1,14.9,19.3,14.2
GHP_1,12.5,18.4,15.9,12.3,11.9,13.2,13.6,11.8
GHP_2,10.6,13.7,11.8,14.3,17.6,11.2,10.6,16.8
GHP_3,15.7,14.5,11.6,13.0,11.2,14.0,14.3,12.3
GHP_4,16.4,14.2,15.3,17.1,18.9,19.3,14.5,13.8
GHP_5,16.0,17.9,16.4,15.0,14.2,17.7,18.6,14.8
GHP_6,19.3,11.5,14.2,18.9,15.0,14.2,13.3,16.5
GHP_7,15.5,11.7,14.6,18.7,11.8,18.7,12.3,14.6
GHP_8,12.8,16.8,15.7,16.5,12.5,19.7,18.2,17.7
GHP_9,14.2,12.3,12.5,16.2,12.7,16.8,10.6,15.2
GHP_10,10.6,13.4,12.5,16.5,10.5,19.1,17.3,18.9
BAR_1,18.3,15.1,16.5,10.4,10.8,11.8,11.7,11.7
BAR_2,10.8,10.8,10.1,11.4,12.2,12.9,13.7,14.8
BAR_3,15.8,16.6,14.2,10.5,10.4,17.4,16.2,15.7
BAR_4,12.9,15.3,16.8,17.1,11.4,17.1,15.2,10.0
BAR_5,18.6,13.0,15.6,13.7,10.4,15.5,17.6,19.7
BAR_6,18.1,16.8,17.4,18.5,16.7,13.5,14.6,18.3
BAR_7,15.0,12.7,12.9,12.8,17.0,19.0,11.6,17.7
BAR_8,19.4,15.3,18.9,13.3,13.2,11.1,15.8,11.9
BAR_9,18.0,14.4,13.9,13.4,16.3,12.1,18.4,10.2
BAR_10,15.9,15.8,12.2,16.0,17.4,14.6,16.6,17.9
KIC_1,16.9,13.0,15.3,12.6,15.9,13.3,15.4,18.2
KIC_2,17.4,16.8,15.5,17.2,13.7,13.7,16.0,19.2
KIC_3,13.4,18.2,11.7,15.5,14.9,16.2,17.0,12.0
KIC_4,12.7,12.7,15.5,14.2,16.0,13.2,10.5,14.0
KIC_5,16.0,18.6,14.1,16.2,10.0,17.6,15.6,12.2
KIC_6,17.6,13.0,16.9,12.1,15.9,14.5,14.6,13.7
KIC_7,13.7,14.4,18.2,13.1,11,16.9,13.3,14.2
KIC_8,12.9,11.9,13.2,15.7,10.9,13.1,14.9,13.2
KIC_9,15.9,18.3,14.6,18.5,11.5,12.3,15,13.4
KIC_10,11.2,14.6,14.1,10.8,13.9,18.5,14.5,14.1
MCD_1,17.2,16.2,14,11.6,15.1,12.1,14.7,18.2
MCD_2,13,10.5,13,13.9,11.3,15.8,15.2,10.2
MCD_3,15,15.5,13.3,16,17.5,12.8,12.2,13.1
MCD_4,19.3,15.7,14,15.2,15.1,14.1,15.8,12.6
MCD_5,16.3,14.8,14.8,13.7,13.2,15.6,18.3,18
MCD_6,14.8,17.2,10.2,10.7,18.4,18.7,16.5,17.4
MCD_7,11.8,13.2,17.2,16.9,11.5,14,11.3,15.6
MCD_8,14.8,11.7,14.3,15.6,13.3,16.5,16,19.1
MCD_9,16.9,16.1,18.4,15.9,14.9,16.5,15.5,18.9
MCD_10,,,,,,,,
